topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59
9.870807e-15,3.713034e-07,1.6460457e-14,0.9997334,9.731214e-13,8.028851e-06,1.6839432e-14,9.368364e-13,9.29133e-13,1.6172728e-05,1.6839496e-14,9.248999e-13,9.370956e-13,2.0618507e-05,1.6839496e-14,9.270812e-13,9.350637e-13,1.8774439e-05,1.6839496e-14,9.2818e-13,9.350334e-13,1.84564e-05,1.6839496e-14,9.281942e-13,9.35037e-13,2.0215813e-05,1.6839496e-14,9.2818e-13,9.350351e-13,2.050061e-05,1.6839496e-14,9.282048e-13,9.35037e-13,2.0481752e-05,1.6839496e-14,9.282048e-13,9.35037e-13,2.0509508e-05,1.6839496e-14,9.282048e-13,9.35037e-13,2.0503328e-05,1.6839496e-14,9.282048e-13,9.35037e-13,2.0505047e-05,1.6839496e-14,9.282048e-13,9.35037e-13,2.0499027e-05,1.6839496e-14,9.282048e-13,9.35037e-13,2.0503541e-05,1.6839496e-14,9.282048e-13,9.35037e-13,2.0503425e-05,1.6839496e-14,9.282048e-13
4.2253893e-14,2.8882394e-10,1.8289572e-09,6.306725e-14,6.3091425e-14,3.850611e-09,2.9174052e-07,6.307447e-14,6.309312e-14,1.639996e-08,2.8758626e-08,6.3093356e-14,6.3090226e-14,1.647753e-08,9.041851e-07,6.309071e-14,6.308927e-14,1.5662538e-08,2.7566884e-07,6.3093235e-14,6.308927e-14,1.7128661e-08,5.0757712e-06,6.3093235e-14,6.308927e-14,1.7932647e-08,5.4979275e-05,6.3093235e-14,6.308927e-14,1.7990134e-08,4.687631e-05,6.3093235e-14,6.308927e-14,1.8005924e-08,0.0013588107,6.3093235e-14,6.308927e-14,1.7997682e-08,0.034476243,6.3093235e-14,6.308927e-14,1.7999023e-08,0.79702044,6.3093235e-14,6.308927e-14,1.7999296e-08,0.08511918,6.3093235e-14,6.308927e-14,1.7999572e-08,0.027041728,6.3093235e-14,6.308927e-14,1.8000259e-08,0.027430715,6.3093235e-14,6.308927e-14,1.8000192e-08,0.027444243,6.3093235e-14
7.8554025e-14,4.631964e-09,1.0353716e-13,2.2260467e-09,5.041249e-09,1.0436334e-13,1.0357054e-13,7.963057e-09,0.999998,1.043524e-13,1.0382252e-13,2.4252449e-08,2.1781052e-08,1.043526e-13,1.03791236e-13,1.2400047e-06,2.3748326e-08,1.043528e-13,1.03791236e-13,3.7256967e-08,2.3816867e-08,1.043526e-13,1.03791236e-13,3.721762e-08,2.3803198e-08,1.043524e-13,1.03791236e-13,3.720598e-08,2.3808829e-08,1.043524e-13,1.03791236e-13,3.7594322e-08,2.3807555e-08,1.043524e-13,1.03791236e-13,3.7608384e-08,2.3807692e-08,1.043524e-13,1.03791236e-13,3.7610892e-08,2.3802471e-08,1.043524e-13,1.03791236e-13,3.760494e-08,2.380238e-08,1.043524e-13,1.03791236e-13,3.7573464e-08,2.3801926e-08,1.043524e-13,1.03791236e-13,3.7573823e-08,2.3802244e-08,1.043524e-13,1.03791236e-13,3.7608455e-08,2.380229e-08,1.043524e-13,1.03791236e-13,3.7608526e-08
6.545264e-14,1.5102374e-07,1.167908e-06,1.1427404e-06,0.00052198785,3.492518e-07,9.274738e-14,9.1731554e-14,9.36338e-14,4.812615e-07,9.274809e-14,9.142152e-14,0.99946886,4.8651066e-07,9.274809e-14,9.3240824e-14,9.323888e-14,4.912007e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.992116e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.925874e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.932036e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.9318857e-07,9.274773e-14,9.3248834e-14,9.3239056e-14,4.931942e-07,9.274773e-14,9.3248834e-14,9.3239056e-14,4.931932e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.931989e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.9319044e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.9319937e-07,9.274809e-14,9.3248834e-14,9.3239056e-14,4.9319937e-07,9.274809e-14,9.3248834e-14
1.1852847e-14,9.5780085e-11,1.7619171e-14,2.4082114e-12,0.99852437,2.1174215e-05,1.7525894e-14,5.209596e-12,3.5181177e-12,1.2066495e-06,1.7525927e-14,2.8999862e-12,7.256437e-12,1.0273171e-05,1.7525927e-14,3.4212513e-12,4.7748806e-12,2.9580342e-05,1.7525927e-14,6.597566e-12,4.772959e-12,0.0012173648,1.7525927e-14,6.601052e-12,4.774671e-12,1.8956223e-05,1.7525927e-14,6.6006116e-12,4.7729407e-12,2.2090497e-05,1.7525927e-14,6.599705e-12,4.7748897e-12,2.2290436e-05,1.7525927e-14,6.599756e-12,4.77498e-12,2.2180446e-05,1.7525927e-14,6.5996804e-12,4.7747804e-12,2.2149055e-05,1.7525927e-14,6.599781e-12,4.7747804e-12,2.2130833e-05,1.7525927e-14,6.599781e-12,4.7747804e-12,2.2097049e-05,1.7525927e-14,6.599932e-12,4.7747804e-12,2.2152246e-05,1.7525927e-14,6.599781e-12,4.7747804e-12,2.2169808e-05,1.7525927e-14,6.599718e-12
8.406874e-14,2.2334894e-09,9.733507e-10,8.3249535e-14,8.324635e-14,0.43299687,8.287691e-10,8.324778e-14,8.3248106e-14,0.5150573,7.28935e-10,8.3242224e-14,8.324699e-14,2.1405326e-06,7.4969503e-10,8.324158e-14,8.324699e-14,0.0012504128,7.397789e-10,8.324143e-14,8.324699e-14,0.050670058,7.4367934e-10,8.324143e-14,8.324699e-14,2.5505924e-06,7.474677e-10,8.324143e-14,8.324699e-14,2.580695e-06,7.499725e-10,8.324143e-14,8.324699e-14,2.5845027e-06,7.4814804e-10,8.324143e-14,8.324699e-14,2.5839113e-06,7.4817375e-10,8.324143e-14,8.324699e-14,2.583914e-06,7.481766e-10,8.324143e-14,8.324699e-14,2.5841086e-06,7.481837e-10,8.324143e-14,8.324699e-14,2.583904e-06,7.481837e-10,8.324143e-14,8.324699e-14,2.5841505e-06,7.481837e-10,8.324143e-14,8.324699e-14,2.5841232e-06,7.481837e-10,8.324143e-14
3.1747225e-14,3.9275935e-14,3.8727542e-14,4.2973664e-10,4.191971e-09,3.936999e-14,3.87268e-14,4.3076596e-09,2.8879412e-09,3.9362028e-14,3.872828e-14,5.309951e-10,0.9995229,3.9360374e-14,3.872828e-14,1.5502294e-09,3.5283316e-05,3.9359927e-14,3.872828e-14,6.9442017e-09,3.944526e-05,3.9361804e-14,3.8728356e-14,6.8437043e-09,4.4186876e-05,3.9362028e-14,3.8728356e-14,6.846995e-09,4.1354044e-05,3.9362028e-14,3.872828e-14,7.0301196e-09,4.193127e-05,3.9362028e-14,3.872828e-14,7.036854e-09,4.5335793e-05,3.9362028e-14,3.872828e-14,7.0355792e-09,4.758097e-05,3.9362028e-14,3.872828e-14,7.0364377e-09,4.72698e-05,3.9362028e-14,3.872828e-14,7.034425e-09,4.1074043e-05,3.9362028e-14,3.872828e-14,7.034492e-09,4.6564786e-05,3.9362028e-14,3.872828e-14,7.035566e-09,4.6906418e-05,3.9362028e-14,3.872828e-14,7.0369346e-09
1.0,6.1708303e-12,6.445105e-12,5.932596e-12,5.925008e-12,6.157944e-12,6.4421185e-12,5.9215397e-12,5.9047125e-12,6.1569573e-12,6.4436794e-12,5.9180733e-12,5.919338e-12,6.156347e-12,6.44363e-12,5.918164e-12,5.919067e-12,6.1564404e-12,6.4436794e-12,5.9185027e-12,5.9190556e-12,6.1566047e-12,6.4436794e-12,5.9184684e-12,5.9190556e-12,6.1565345e-12,6.4436668e-12,5.9184684e-12,5.9190556e-12,6.1565345e-12,6.443654e-12,5.9184684e-12,5.9190556e-12,6.1565228e-12,6.4436668e-12,5.9184684e-12,5.9190556e-12,6.1565228e-12,6.4436668e-12,5.9184684e-12,5.9190556e-12,6.1565228e-12,6.4436668e-12,5.9184684e-12,5.9190556e-12,6.1565228e-12,6.4436668e-12,5.9184684e-12,5.9190556e-12,6.1565228e-12,6.4436668e-12,5.9184684e-12,5.9190556e-12,6.1565228e-12,6.4436668e-12,5.9184684e-12,5.9190556e-12,6.1565228e-12,6.4436668e-12,5.9184684e-12
1.5113858e-14,2.2327802e-14,2.2389e-14,1.1874967e-12,1.5284477e-12,0.9996506,2.2378028e-14,1.3658466e-12,1.3107588e-12,2.4182593e-05,2.2378837e-14,1.3082761e-12,1.3714958e-12,3.3539964e-05,2.237888e-14,1.3274851e-12,1.3596344e-12,0.00022003273,2.237888e-14,1.3309483e-12,1.3595774e-12,1.4038105e-05,2.237888e-14,1.3300753e-12,1.3596032e-12,6.317449e-06,2.237888e-14,1.3300753e-12,1.3595903e-12,6.4051096e-06,2.237888e-14,1.3300651e-12,1.3596137e-12,6.3979246e-06,2.237888e-14,1.3300626e-12,1.3596137e-12,6.396491e-06,2.237888e-14,1.3300651e-12,1.3596163e-12,6.4008473e-06,2.237888e-14,1.3300651e-12,1.3596163e-12,6.40064e-06,2.237888e-14,1.3300651e-12,1.3596163e-12,6.3991447e-06,2.237888e-14,1.3300651e-12,1.3596163e-12,6.4011037e-06,2.237888e-14,1.3300651e-12,1.3596163e-12,6.4008414e-06,2.237888e-14,1.3300626e-12
5.5723028e-14,2.3206985e-10,1.4151803e-09,6.984716e-14,6.980934e-14,1.1646486e-09,0.0019623605,6.970236e-14,6.98922e-14,2.781474e-09,1.5155733e-07,6.985928e-14,6.985675e-14,2.9274236e-09,0.00010326155,6.985795e-14,6.985648e-14,2.9702079e-09,9.647374e-07,6.9857416e-14,6.985648e-14,3.0315006e-09,8.664275e-06,6.985768e-14,6.985648e-14,2.9984406e-09,0.0001092728,6.9857416e-14,6.985648e-14,3.0005802e-09,0.00036587514,6.9857416e-14,6.985648e-14,3.000981e-09,0.001322135,6.9857416e-14,6.985648e-14,3.0009009e-09,0.8713426,6.9857416e-14,6.985648e-14,3.0008664e-09,0.013091921,6.9857416e-14,6.985648e-14,3.0008322e-09,0.02794331,6.9857416e-14,6.985648e-14,3.000603e-09,0.027384525,6.9857416e-14,6.985648e-14,3.0006717e-09,0.028158791,6.9857416e-14,6.985648e-14,3.0006375e-09,0.028206065,6.9857416e-14
1.1306901e-13,0.00032669367,1.3713931e-13,1.3498949e-13,0.999666,4.3326477e-07,1.3723273e-13,1.3498768e-13,1.351505e-13,5.990126e-07,1.3730473e-13,1.3515102e-13,1.3514689e-13,5.027518e-07,1.3723116e-13,1.3514946e-13,1.3514741e-13,4.997659e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.1178296e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.3059404e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.3138297e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.3163643e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.3158567e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.316202e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.315629e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.315918e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.315938e-07,1.3723064e-13,1.3514844e-13,1.3514793e-13,5.3159783e-07,1.3723064e-13,1.3514844e-13
8.6876944e-14,0.9999999,1.2891307e-13,1.7534838e-09,5.3007776e-09,1.3464699e-13,1.2909467e-13,5.95194e-09,4.2691437e-09,1.350709e-13,1.2909713e-13,2.5060982e-09,7.403453e-09,1.3464621e-13,1.2909713e-13,3.7362122e-09,7.3080226e-09,1.3464673e-13,1.2909713e-13,4.9111026e-09,7.3188615e-09,1.3464673e-13,1.2909713e-13,4.9070294e-09,7.3183726e-09,1.3464621e-13,1.2909713e-13,4.906543e-09,7.317926e-09,1.3464647e-13,1.2909713e-13,4.912424e-09,7.3187216e-09,1.3464647e-13,1.2909713e-13,4.912695e-09,7.3186515e-09,1.3464647e-13,1.2909713e-13,4.9127795e-09,7.3178565e-09,1.3464647e-13,1.2909713e-13,4.912658e-09,7.3178565e-09,1.3464647e-13,1.2909713e-13,4.9125735e-09,7.317828e-09,1.3464647e-13,1.2909713e-13,4.912583e-09,7.3178423e-09,1.3464647e-13,1.2909713e-13,4.912658e-09,7.3178565e-09,1.3464647e-13,1.2909713e-13,4.9126485e-09
1.2312781e-13,3.5757398e-07,1.725943e-13,3.5905473e-12,4.2882174e-12,3.093952e-05,1.726259e-13,3.4054972e-12,3.3421395e-12,6.248727e-05,1.7263612e-13,3.3366367e-12,3.396228e-12,0.00017841508,1.7263612e-13,3.3423054e-12,3.3798658e-12,9.5916796e-05,1.7263612e-13,3.3440015e-12,3.3797305e-12,0.0002185012,1.7263612e-13,3.3440527e-12,3.3798205e-12,0.0037670042,1.7263612e-13,3.3441802e-12,3.3796785e-12,0.041670796,1.7263612e-13,3.3441863e-12,3.3798205e-12,0.023167029,1.7263612e-13,3.3441863e-12,3.379827e-12,0.12032459,1.7263612e-13,3.3441863e-12,3.379827e-12,0.07047325,1.7263612e-13,3.3441863e-12,3.379827e-12,0.11071687,1.7263612e-13,3.3441863e-12,3.379827e-12,0.06558689,1.7263612e-13,3.3441863e-12,3.379827e-12,0.14532115,1.7263612e-13,3.3441863e-12,3.379827e-12,0.4183858,1.7263612e-13,3.3441863e-12
5.910049e-14,5.36976e-10,0.17396088,7.980953e-14,7.9803284e-14,1.5965425e-08,0.82603365,7.9796745e-14,7.97937e-14,4.678308e-08,2.0804102e-08,7.9794e-14,7.9794e-14,5.9630814e-08,8.9009106e-08,7.97937e-14,7.9794e-14,4.8011774e-08,5.416653e-08,7.979324e-14,7.9794e-14,6.232828e-08,1.4109965e-07,7.979309e-14,7.9794e-14,7.451344e-08,3.6802336e-07,7.979324e-14,7.9794e-14,7.530426e-08,3.479464e-07,7.979324e-14,7.9794e-14,7.570721e-08,4.8617414e-07,7.979324e-14,7.9794e-14,7.5463284e-08,5.0611857e-07,7.979324e-14,7.9794e-14,7.5461124e-08,5.069485e-07,7.979324e-14,7.9794e-14,7.54784e-08,5.082144e-07,7.979324e-14,7.9794e-14,7.5492075e-08,5.058344e-07,7.979324e-14,7.9794e-14,7.5484294e-08,5.058353e-07,7.979324e-14,7.9794e-14,7.548315e-08,5.058348e-07,7.979324e-14
